text,label,dataset
Toshiba Corp wants to raise as least 1 trillion yen ($8.8 billion/£7.1 billion) from the sale of a majority stake in its NAND flash memory business to plug a hole in its finances from a $6.3 billion writedown of its U.S. nuclear unit,pos,train
"pension funds and insurance companies in the G4 - United States, euro zone, Japan and Britain - will buy at least $640 billion of bonds this year",pos,train
"Pension funds are in bonds for the long haul, and aren't swayed by weekly or monthly price fluctuations.",pos,train
SoftBank Group CEO Masayoshi Son said he was interested in investing in ride-hailing firms Uber Technologies and Lyft,pos,train
Portuguese retail conglomerate Sonae SGPS SA is interested in partnering with buyout firms to acquire the Brazilian operations of Walmart Inc,pos,train
"Our objective is to maintain consistent access to all of the debt markets, providing us with the flexibility to pick and choose the most attractive market to raise capital.",pos,train
"Access to the public debt markets provides us with a competitive advantage in the marketplace and as a large, well capitalized company, we can quickly raise capital in meaningful size to fund investment opportunities.",pos,train
"As you know, in January, we indicated our interest in acquiring Yingde Gases, a Hong Kong listed company and a major industrial gas company in China",pos,train
"We are focusing on MSAs that have over 1 million in population, strong demographics and strong job growth",pos,test
"As you noted earlier, we are actively pursuing acquisitions of multifamily communities that fit our business model",pos,train
"How much would this add to your risk-weighted assets, is this couple of billions or how should we look at this?",neg,test
"I now hand you over to, Wolf Schumacher, who will lead you through this conference.",neg,train
These together is the reason that we had a very positive net interest income development,neg,train
"May I now hand you over to Mr. Jürgen Junginger, who will lead you through this conference. Please go ahead, sir",neg,train
So we've seen heavy debt investments from REIT’s and others throughout the last quarter.,neg,train
Some of this headwind is timing related to lower demand at PharMEDium's Texas facility as a result of the Houston hurricane.,neg,train
"And the second item, our PharMEDium business experienced an increase in sequential shipping volumes in Q4, so we are pleased with their progress at increasing throughput while having best-in-class QC procedures",neg,test
"Due to the preventative steps and comprehensive preparations of our operations team, I'm also happy to report that none of our AmerisourceBergen facilities sustained material damage",neg,train
"As Steve highlighted, we're extremely pleased with our operations teams' comprehensive preparations and rapid coordinated response to the recent hurricanes",neg,train
"Revenue; our full year growth was a solid 4%, and this includes a negative 130 basis points impact due to lower Hepatitis C revenues",neg,train
Sales growth in the quarter benefited from the timing of tenders in select markets which contributed approximately 2.5% to the growth rate,neg,train
On a comparable basis the annual cash basis rent increased 16,neg,train
2% on a total debt to total capitalization basis and a net debt to EBITDA of 6,neg,train
4 times; although our focus is to get our net debt to EBITDA back down to 5,neg,train
"I will now turn the call over to our Chairman, President and CEO, Ernest Rady, to begin our discussion of third-quarter results",neg,train
"Looking into Q2, we expect our broadband and connectivity business to be flat to up slightly sequential",neg,train
"Well, I guess one of the external -- I'm wondering are retailers reacting more slowly?",neg,train
"We are hearing from some of your peers, at least in the retail space, that while deals may get done, it's taking a lot longer for them to get done",neg,train
On August one we took over management of the 533 unit Pacific Ridge apartment in San Diego overlooking Mission Bay and adjacent to the University of San Diego,neg,train
We have generated material growth in the value of new business by investing capital at attractive returns and with increased capital efficiency.,neg,train
"It is our largest agency force among all our countries, yes.",neg,train
You can from the past record we have demonstrated sustainable growth and very strong execution in the right strategy,neg,train
"More than 5 million in population, most of the city and a lot of people have low penetration",neg,train
"Our Financial Advisers program offers high-quality induction training to new agents with high potential, new recruits through this program increased by 35% in 2016.",neg,train
"The training, the amount of training we do to agents before they’re allowed to sell is double or triple the industry average.",neg,train
"We continued to work closely with our strategic bank partners, both Citibank and IndusInd Bank, and initial results have been very strong.",neg,train
We continued to strengthen our agency distribution through our new agency branch model and introduced several recruitment initiatives during the year to attract young professionals,neg,train
"To further support agency, AIA is the first insurer to launch an e-payment platform in Sri Lanka, allowing payment of premiums via mobile phones",neg,train
And over 90% of the working capital held at the Group Corporate Centre is invested in U,neg,train
"These initiatives have led to a significant increase in the number of agency MDRT qualifiers, which grew 74% in 2016",neg,train
We also saw significant agency productivity improvements of over 20% from the rollout of activity management tools on our mobile office platform and new products targeted at the mass affluent segment.,neg,train
"As a result of our disciplined approach in Korea we have continued to deliver solid earnings growth, with OPAT up by 10% in 2016",neg,train
"We also generated increased capital and free surplus from the management of our in-force book, maintained our resilient solvency position, financed our growth and uplifted our dividends.",neg,train
"VONB of $2. 8 billion was close to the figure for the expected return on EV Equity, reflecting the significantly higher contribution to EV operating profit growth from the value of new business",neg,train
"Our agency business delivered a solid performance, with double-digit VONB growth from increased active agent numbers and higher productivity.",neg,train
"And whilst rising interest rates, gradually rising interest rates is a positive for us overall, we’re not going to take a large tactical bet.",neg,train
"Operating margin after tax has continued to be very strong due to the quality of the new business we write, the active management of our in-force book, and our disciplined management of expenses",neg,train
Our overall sales growth is the result of organic and acquisition based growth with contributions from the newly acquired IDB Group in the Netherlands,neg,test
2016 proved to be another strong year of growth with a compound annual growth rate of 28% between 2012 and 2016.,neg,train
"We will see that how will develop in the future, that is a general picture from first half 2016.",neg,train
"I was interested also on the FX impact on the net interest income, if you could give us some sensitivity there?",neg,train
"At our customer’s request, this conference will be recorded.",neg,train
Allowance for credit losses somewhere between €80 million and €120 million maybe in the middle somewhere.,neg,train
"While you can see that the capital markets, especially in Europe, turned more cloudy, there are still existing geo-political risks, I like to mention Ukraine, I like to mention ISIS, I like to mention some other topics concerning from Ebola.",neg,train
"We see the ongoing quantitative easing with very low short-term and negative interest rates that will be a challenge for societies and for the banking industry in total, but it could be a risk of asset bubbles and growing downside potential therefore is given",neg,train
So the margin pressure is in the few segments of the markets where you managed to avoid those segments?,neg,train
So how many additional solutions are there maybe to scale the revenue opportunity?,neg,train
As always very through questions and try to get more details,neg,train
"As a percentage of revenue, networking capital continued to decline year-on-year",neg,train
"This growth primarily came from Robotics, Traction Solutions, Crew Ships and Construction",neg,train
"Altogether, the group achieved operational EBITDA of $1.42 billion and a margin of 12.4%.",neg,train
Net volumes were negative for the quarter as a result of lower operational revenues and additional investments in growth,neg,train
Industrial Automation also turned in a solid performance with orders up 8%,neg,train
"In steel, it depends in which region and what target you buy it",neg,train
"It is well on track to achieve its increased cost reduction target of 1.3 billion in run rate savings, while incurring lower restructuring and implementation cost than they had initially announced.",neg,train
The graph on the right shows how our white-collar productivity savings program has outperformed the expectations and dislodged 2015,neg,train
"Beyond these actions, we announced the partnership with IBM on artificial intelligence and executed successfully the launch of ABB Ability, our leading digital offering among many others",neg,train
We have a special commodity buying and commodity team for exchange rate commodities that are working that through,neg,train
"Since 2014, we have more than doubled the division's operational EBITDA margin, reflecting improved productivity and continued cost savings.",neg,train
"As we see the U.S. market it is a little bit unique from the U.S. perspective, relative to the rest of the world",neg,train
That includes the full profit tools that we discussed before,neg,train
"Yes, so the 400 million really covers all the costs related to the transaction, so these are integration costs, restructuring costs and transaction cost",neg,train
"Brazil's economy continued to stabilize, bringing great growth from grid investments and construction.",neg,train
"If you look at the 14.4% this quarter, B&R has a higher net working capital level than that historically, so naturally that dampens that",neg,train
"Through solutions like this and our flash-charging stations along all urban bus routes, our TOSA system, electric vehicle charging was a highlight in the quarter",neg,train
"All in all, our debt is, to a certain extent, reflected in the early prepayment fees, which are in line with the lower end of our expectations, €35 million but we will see how that transaction volume behavior will develop throughout the full-year",neg,train
"Stable, with average loan-to-value reduction by 4 percentage points to 82%.",neg,train
Please keep in mind that we are with our portfolio a little bit above our target.,neg,train
"Yes, clearly caught by very low Q1, yet more or less in line with Q1 2016, so to speak, but we are sticking to our full-year guidance on that.",neg,train
"First quarter, €71 million operating profit, fully in line with our expectations.",neg,train
"If we go further to the results at a glance, you can see that we achieved an operating profit of EUR 66 million that means that positive development continued.",neg,train
"And I'll just add Paul really those would be in keeping with the strategy you recall as Tim mentioned which is we're looking at -- we're sort of laser focused on rare diseases, so we're quite interested in seeing if any of that, if the process yields anything that's viable or interesting that is a priority at the Company",pos,train
"As I discussed last quarter, we are focused on reducing our stock-based compensation or SBC as a percentage of revenue",pos,train
"That said, we will launch it sometime before end of this quarter",pos,train
"We are growing our business in energy and mining, the 2 industries that are not dependent on the Highway Bill",pos,train
We are actively pursuing an order with the State of Ohio,pos,train
"Both of these assets, combined with the history of growth in Europe, support our objective of driving consistent, long-term profitable growth and increasing shareowner value",pos,train
I can share with you that we’re very focused on that while continuing to drive efficiencies to drive the investments in the future,pos,train
We believe both platforms are well positioned as favorable lodging market conditions are expected to continue as the U,pos,train
The ramp up of our global business service centers in Krakow and Bangalore is well on track,pos,train
"So, for me 18 will be the first year where we compare against a similar 17 in terms of the underlying business model that they will run this business and I expect we get growth going",pos,train
"As you can see from this graph, we are continuing the journey and truly transforming Power Grids for sustainable value creation",pos,train
"As we look forward by development, it will once again be an area of focus",pos,train
GE industrial solutions is a non-core business for GE but we see significant value creation potential for this business within the ABB family driven by our innovation leadership and cost synergies.,pos,train
GE Industrial Solution present the unique opportunity for ABB to expand our access to the North American electrification market due to its large installed base and strong customer relationships,pos,test
We will also raise GE Industrial Solutions performance towards key levels by leveraging ABB's technology leadership and especially ABB ability to realize GE Industrial Solutions' full potential,pos,train
"But in RM, we have also done quite a few bigger acquisitions and we are looking at both pricing but also improving efficiency of operations, that what we have said earlier, and that's what we will continue to do going forward as well.",pos,train
We are preparing a really nice set of actions to make sure that we can tap the installed base a little bit more,pos,train
"We will see investments on de-manning and upgrading existing activities that are running, so there's an opportunity",pos,train
"We will retain key managements, engineering and sales stuff and build on the strong brand positions and GE's customer relationships",pos,train
"But all I can tell you, we have a very exciting continuation of the launch pattern in the next 24 months in front of us",pos,test
"As part of the transaction, and key to the overall value creation, we have agreed to establish a long-term partnership to supply GE with products and solutions from across the entire ABB portfolio",pos,train
"We will acquire GE Industrial Solutions for $2.6 billion, less than 1 time EV to sales, and approximately 12 times EV to EBITDA, which is in line with peer and our own valuation",pos,train
"As I said in my remarks, first of all, we're planning on 2% total volume growth internal where we expect the new HH&S division to grow globally faster than that rate",neg,train
"So that’s okay but buying companies is a better idea, buying new technology and Rob and I are actively pursuing these",pos,train
"I mean, my team is actively planning a dozen or so redevelopment projects that we expect to follow on the heels of Treetops and Lincoln",pos,train
"In doing so, we expect to build a billion dollar SaaS business",pos,train
Our goal is to reduce our price point in the marketplace between 8% and 15%,pos,train
The other focus is the digitization of our entire company,pos,train
Right now we’re very focused on integrating the two acquisitions that we made last year,pos,train
We are focusing on marketing and we're focusing on product,pos,train
Here we're focused on innovating how we market our live titles,pos,train
"To do that, we are focused on two key elements",pos,train
"Third, we would like to buy or invest in complementary businesses such as Remington, OpenKey and others",pos,train
"If we have more opportunities like the 2 plywood plants, we'd be very interested in that",pos,train
"Looking into the whole of 2014, we expect to improve our performance in 2013",pos,train
"At the same time, we are planning to invest approximately 5% in capital spending across the business, of which approximately 50% is expected to be dedicated to BD Apparel and POC, approximately 30% is expected to be reinvested in our operating platform, and the balance in maintenance CapEx across the other brands",pos,train
"So just that supply dynamic allows us going forward to continue to have strong demand from retailers and we expect to see continue growth of NOI and our goal is to get that number up more to our peers level and like I said earlier, right now we are below it but we are focused on increasing that",pos,test
"Most relevant to our discussion today, we have begun expanding our focus to include ecommerce retailers based outside the U",pos,train
So we expect our CapEx to increase as we ramp up those projects over the coming quarters,pos,train
1 in the first quarter and we are actively pursuing a large number of opportunities,pos,train
"I think we are actively pursuing all financial aspects of the company, so as to those debt ratios",pos,train
this is really going to drive a lot of efficiencies in the R&D process as well as it’s going to drive continued reductions in cost of sales,pos,train
"But coming out of that, we believe the underlying fundamentals remain positive and I know our team is working diligently to maintain pricing momentum",pos,train
Our goal is to try to drive more traffic into the store we know we can convert most we have the customer in that.,pos,train
"Looking forward, I think 2018 brokerage organic will be similar to 2017 perhaps even a little better if PC pricing and exposures continue to improve",pos,train
"Most namely, the higher-end furniture market is a big part of their business, so we're excited about that as we can move some of our solutions and existing products into that market",pos,train
"We are forecasting R&D expense of roughly 16% of sales, which reflects an increase in funding to support our late-stage pipeline and continued progress across numerous mid-stage programs",pos,train
I also mentioned that we have interest in small strategic niche acquisitions,pos,train
I think those are intriguing programs. We have interest in that.,pos,train
"So, we’re -- I think that for now, focus is on selling planes",pos,train
So we're looking to try to accelerate that as much as possible,pos,train
We took public wireless communication to the nursing station directive EMR so on with a number of other areas that we have interest in as well.,pos,train
I have a few cousins who might be interested in going down to open a Greek diner down there,pos,train
our vision is to be a best-in-class global company that delivers enabling manufacturing solutions to our customers globally.,pos,train
We are enhancing our new structure by hiring very experienced underwriters and former colleagues with track records of strong financial performance to complement the talent we have here today.,pos,train
"Well, you do know it’s an area that we’re very interested in and we continue to explore and I think we’ll update you on that at the Analyst Day as well.",pos,train
"You know a lot of cases the kinds of businesses that we are interested in outside the US or family owner or family sponsored a little different environment in the U.S. or European markets, but we are comfortable there.",pos,train
"We're investing in our business, pursuing acquisitions, repurchasing stock and investing in our standalone used vehicle store initiative",pos,train
we also announced in the quarter a plan to target the repurchase of up to 1.5 billion of our shares in '14.,pos,train
"We will continue to capture organic growth where the returns are attractive, while pursuing acquisitions opportunistically to complement our growth strategies.",pos,train
"Yes, Hardin, we’re definitely actively pursuing acquisitions.",pos,train
"our goal is to simplify the cap structure, streamline things and really allow us, couple of things, more tightly aligned with ICG management and really the ability to more proactively pursue acquisitions here.",pos,train
"Looking forward, we will continue to actively pursue acquisitions and new store opportunities with a focus on enhancing brand representation within our existing markets and markets that can be supported by our existing management infrastructure.",pos,train
"If signed by the Governor, we anticipate seeking Florida commission approval later this year to issue bonds in early 2016.",pos,train
"We filed an automatically effective shelf registration statement that enables us to access the capital markets quickly, if we should decide to take advantage of the attractive rates at which we could issue debt in the investment-grade credit market.",pos,train
"This combined corporate structure will, over time, meet its funding requirements by issuing debt directly to the market.",pos,train
"We will issue debt directly out of the new entity, and expect the entity to be able to access the capital markets later this year.",pos,train
"And, we will increase our financing business leverage from seven to one to nine to one, which represents an increase of about $600 million in Global Financing debt.",pos,train
Over the next few weeks we will reorganize the subsidiaries underneath it.,pos,train
And we expect to focus our capital raising activities on the debt markets and moderate asset sales,pos,train
We are going to issue debt from this entity in Q4.,pos,train
"It won’t be public because we have to go through the registration process with the Securities and Exchange Commission but we will start that process and we will issue public debt, well at least it’ll be a repotting company by the end of Q2 next year.",pos,train
"Yes, I mean we have talked about our desire to divest that business.",pos,train
There are certainly acquisition opportunities out there and we also consider divestiture and I'll talk a little bit more about that.,pos,train
One of which is the potential divestiture of that business.,pos,train
So first is related to the exploration of a possible IPO of our Canadian business discussed last quarter.,pos,train
So do not be surprised if you see us raising more debt capital during the second half of 2008.,pos,train
"So as a consequence, we will always have as an option redeploying capital internally through asset sales or maybe even bringing partners in for some of the exploration prospects that we have as they mature, and also raising new capital externally in the form of debt or equity.",pos,test
"And in addition to using our available cash balances, we expect to be active in the debt markets in 2017 raising additional capital.",pos,train
"On the contrary, one of the key priorities this year is to continue divesting assets, is to make sure that we generate free cash flow reaching the target we gave you, EUR600 to EUR800 million of free cash flow at the end of the year",pos,train
"Well we are working on a registration statement that would be filed, that would give us the opportunity to consider the IPO this fall and so, we expect to be filing a S-1 registration statement this summer, and we’ll have the opportunity to consider in the fall.",pos,train
"But the opportunity here for us is, number one to have the objective of raising some equity capital to fund our growth opportunities in the oil and gas business, and also get investors to focus on the values inherent in those assets",pos,train
"As we said, we continue to look at all of the available ways of raising capital, debt and equity and can’t speak about anything specific as to what we would or wouldn’t do.",pos,train
"In our end-markets, we expect continued strength in Pharma, accompanied by continued solid growth in the Food, Environmental, and Clinical Research and Diagnostics markets",pos,train
Our aim is to be a leader in building care continuing that center around home care and aging in place.,pos,train
"we are very much interested in taking advantage of the opportunity we have to deploy some liquidity, and we will continue to move down this path.",pos,train
"In the area of strategic growth, we are planning on adding to our European sweetener and starch footprint with the pending acquisition of Chamtor in France.",pos,train
So we’re looking but we’re not actively pursuing anything at this time.,neg,train
Are they 100% focused on selling Acxiom solutions or are they sort of solution agnostic in selling?,neg,train
our basic business plan is not focused on the replacement market.,neg,train
We strongly believe in the value created by the JV and then preparation have completed the creation of a new legal entity and operating structure for the cellulose derivative business,neg,train
"which goes to Matt's question, what are you focused on over the next 5 years, is that how do I align the organization?",neg,train
we are not focusing on a single market or a single state,neg,train
"Our new hydrogen plant in India completing its second full quarter of operation drove a significant portion of the sales growth, while our merchant business contributed 3% volume growth",neg,train
"Volume increased 46% in 2017 year-over-year, from growth in organic polymers and acquisitions",neg,train
"Yes, there has been a margin squeeze, as we talked about",neg,train
Loan growth of 9% was led by consumer growth during the year,neg,train
Our overall commercial and business lending portfolio had mixed results in 2017,neg,train
I don't think we will see that changing or feel like that's going to change,neg,train
"Great, thanks, Surabhi, and welcome to everyone listening in today",neg,train
"50 to $23 of share, representing 16% to 19% growth",neg,train
"We now have a solid foundation in place, a proven track record of doing what we say we will do, and of executing winning a growth strategy",neg,train
"Curious to hear your thoughts on how you would characterize the quality of the R&D pipeline right now? And I think of late, you started implementing what you kind of referred to as a product cycle management system. Can you sort of walk us through exactly what is and whether there any P&L benefits associated with that kind of over time that we should expect?",neg,test
Concerns about the health of our environment continued to drive the market in Asia.,neg,train
We have strong momentum going into 2018,neg,test
I am not interested in acquisitions.,neg,train
just as we have clients too that don't want to invest in tobacco companies,neg,train
The Russian Finance Ministry has no plans to issues new bonds to absorb capital inflows related to repatriation of capital,neg,train
we aren't considering going to the market for now,neg,train
"We're advising clients not to issue bonds today, we need a period of reflection and to adjust to this new paradigm",neg,train
"I'm joined today by Roy Harvey, Alcoa Corporation President and Chief Executive Officer; and William Oplinger, Executive Vice President and Chief Financial Officer.",neg,train
So caustic raw material price increases are never particularly welcome.,neg,train
"We’re managing our operating expense and management is committed to working within our means, so we don’t have to raise capital to continue to grow.",neg,train
"(NYSE:A) Q4 2017 Results Earnings Conference Call November 20, 2017 4:30 PM ET",neg,train
We entered 2017 thinking that China and the pharma market would be strong.,neg,train
